SDG using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=192, Epoch=23, minibatch=7, loss=0.06370, Wa=1.2613, Wb=1.2333
update=193, Epoch=24, minibatch=0, loss=0.04842, Wa=1.2610, Wb=1.2334
update=194, Epoch=24, minibatch=1, loss=0.05367, Wa=1.2609, Wb=1.2334
update=195, Epoch=24, minibatch=2, loss=0.05618, Wa=1.2613, Wb=1.2334
update=196, Epoch=24, minibatch=3, loss=0.06254, Wa=1.2612, Wb=1.2334
update=197, Epoch=24, minibatch=4, loss=0.04971, Wa=1.2613, Wb=1.2334
update=198, Epoch=24, minibatch=5, loss=0.05329, Wa=1.2606, Wb=1.2331
update=199, Epoch=24, minibatch=6, loss=0.06241, Wa=1.2608, Wb=1.2333
update=200, Epoch=24, minibatch=7, loss=0.06486, Wa=1.2608, Wb=1.2330
update=201, Epoch=25, minibatch=0, loss=0.05296, Wa=1.2611, Wb=1.2331
update=202, Epoch=25, minibatch=1, loss=0.06047, Wa=1.2613, Wb=1.2330
update=203, Epoch=25, minibatch=2, loss=0.05724, Wa=1.2616, Wb=1.2332
update=204, Epoch=25, minibatch=3, loss=0.05628, Wa=1.2617, Wb=1.2329
update=205, Epoch=25, minibatch=4, loss=0.05262, Wa=1.2611, Wb=1.2327
update=206, Epoch=25, minibatch=5, loss=0.05633, Wa=1.2615, Wb=1.2330
update=207, Epoch=25, minibatch=6, loss=0.05543, Wa=1.2616, Wb=1.2332
update=208, Epoch=25, minibatch=7, loss=0.05995, Wa=1.2615, Wb=1.2330
update=209, Epoch=26, minibatch=0, loss=0.05306, Wa=1.2607, Wb=1.2329
update=210, Epoch=26, minibatch=1, loss=0.05207, Wa=1.2607, Wb=1.2327
update=211, Epoch=26, minibatch=2, loss=0.05995, Wa=1.2605, Wb=1.2325
update=212, Epoch=26, minibatch=3, loss=0.05046, Wa=1.2609, Wb=1.2328
update=213, Epoch=26, minibatch=4, loss=0.06755, Wa=1.2602, Wb=1.2326
update=214, Epoch=26, minibatch=5, loss=0.05678, Wa=1.2605, Wb=1.2329
update=215, Epoch=26, minibatch=6, loss=0.05605, Wa=1.2613, Wb=1.2328
update=216, Epoch=26, minibatch=7, loss=0.05533, Wa=1.2615, Wb=1.2329
update=217, Epoch=27, minibatch=0, loss=0.05170, Wa=1.2612, Wb=1.2328
update=218, Epoch=27, minibatch=1, loss=0.06294, Wa=1.2613, Wb=1.2328
update=219, Epoch=27, minibatch=2, loss=0.05367, Wa=1.2613, Wb=1.2325
update=220, Epoch=27, minibatch=3, loss=0.04784, Wa=1.2613, Wb=1.2327
update=221, Epoch=27, minibatch=4, loss=0.05040, Wa=1.2615, Wb=1.2329
update=222, Epoch=27, minibatch=5, loss=0.06588, Wa=1.2615, Wb=1.2329
update=223, Epoch=27, minibatch=6, loss=0.05935, Wa=1.2607, Wb=1.2326
