RMSprop using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.002
Epoch=18, minibatch=2 loss=43.44516, Wa=0.2864, Wb=1.5410
Epoch=18, minibatch=3 loss=47.55081, Wa=0.2887, Wb=1.5394
Epoch=18, minibatch=4 loss=42.29628, Wa=0.2889, Wb=1.5386
Epoch=18, minibatch=5 loss=46.01212, Wa=0.2890, Wb=1.5361
Epoch=18, minibatch=6 loss=46.17683, Wa=0.2890, Wb=1.5333
Epoch=18, minibatch=7 loss=37.42419, Wa=0.2905, Wb=1.5323
Epoch=19, minibatch=0 loss=49.05842, Wa=0.2911, Wb=1.5299
Epoch=19, minibatch=1 loss=49.89633, Wa=0.2914, Wb=1.5297
Epoch=19, minibatch=2 loss=45.95851, Wa=0.2939, Wb=1.5301
Epoch=19, minibatch=3 loss=47.98856, Wa=0.2941, Wb=1.5275
Epoch=19, minibatch=4 loss=43.26623, Wa=0.2959, Wb=1.5283
Epoch=19, minibatch=5 loss=43.68546, Wa=0.2962, Wb=1.5244
Epoch=19, minibatch=6 loss=38.18766, Wa=0.2969, Wb=1.5245
Epoch=19, minibatch=7 loss=34.93935, Wa=0.2980, Wb=1.5225
Epoch=20, minibatch=0 loss=49.15739, Wa=0.2983, Wb=1.5191
Epoch=20, minibatch=1 loss=42.05337, Wa=0.2986, Wb=1.5188
Epoch=20, minibatch=2 loss=46.90353, Wa=0.2998, Wb=1.5182
Epoch=20, minibatch=3 loss=40.96774, Wa=0.3029, Wb=1.5159
Epoch=20, minibatch=4 loss=34.75206, Wa=0.3043, Wb=1.5146
Epoch=20, minibatch=5 loss=45.57785, Wa=0.3051, Wb=1.5123
Epoch=20, minibatch=6 loss=41.45254, Wa=0.3079, Wb=1.5115
Epoch=20, minibatch=7 loss=47.11845, Wa=0.3085, Wb=1.5095
Epoch=21, minibatch=0 loss=42.19855, Wa=0.3099, Wb=1.5092
Epoch=21, minibatch=1 loss=42.85550, Wa=0.3112, Wb=1.5081
Epoch=21, minibatch=2 loss=38.01463, Wa=0.3137, Wb=1.5057
Epoch=21, minibatch=3 loss=43.66920, Wa=0.3160, Wb=1.5044
Epoch=21, minibatch=4 loss=44.77039, Wa=0.3187, Wb=1.5038
Epoch=21, minibatch=5 loss=43.02982, Wa=0.3204, Wb=1.5032
Epoch=21, minibatch=6 loss=42.93252, Wa=0.3230, Wb=1.5020
