Adam using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.03
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=277, Epoch=34, minibatch=4, loss=0.00083, Wa=1.2573, Wb=1.2342
updates=278, Epoch=34, minibatch=5, loss=0.00074, Wa=1.2575, Wb=1.2343
updates=279, Epoch=34, minibatch=6, loss=0.00094, Wa=1.2577, Wb=1.2344
updates=280, Epoch=34, minibatch=7, loss=0.00096, Wa=1.2579, Wb=1.2345
updates=281, Epoch=35, minibatch=0, loss=0.00079, Wa=1.2581, Wb=1.2346
updates=282, Epoch=35, minibatch=1, loss=0.00098, Wa=1.2583, Wb=1.2344
updates=283, Epoch=35, minibatch=2, loss=0.00101, Wa=1.2584, Wb=1.2344
updates=284, Epoch=35, minibatch=3, loss=0.00099, Wa=1.2586, Wb=1.2341
updates=285, Epoch=35, minibatch=4, loss=0.00092, Wa=1.2588, Wb=1.2340
updates=286, Epoch=35, minibatch=5, loss=0.00098, Wa=1.2590, Wb=1.2338
updates=287, Epoch=35, minibatch=6, loss=0.00075, Wa=1.2591, Wb=1.2337
updates=288, Epoch=35, minibatch=7, loss=0.00074, Wa=1.2593, Wb=1.2336
updates=289, Epoch=36, minibatch=0, loss=0.00097, Wa=1.2594, Wb=1.2337
updates=290, Epoch=36, minibatch=1, loss=0.00097, Wa=1.2595, Wb=1.2336
updates=291, Epoch=36, minibatch=2, loss=0.00077, Wa=1.2596, Wb=1.2336
updates=292, Epoch=36, minibatch=3, loss=0.00100, Wa=1.2597, Wb=1.2336
updates=293, Epoch=36, minibatch=4, loss=0.00080, Wa=1.2598, Wb=1.2334
updates=294, Epoch=36, minibatch=5, loss=0.00079, Wa=1.2599, Wb=1.2333
updates=295, Epoch=36, minibatch=6, loss=0.00085, Wa=1.2600, Wb=1.2333
updates=296, Epoch=36, minibatch=7, loss=0.00092, Wa=1.2601, Wb=1.2332
updates=297, Epoch=37, minibatch=0, loss=0.00078, Wa=1.2602, Wb=1.2333
updates=298, Epoch=37, minibatch=1, loss=0.00075, Wa=1.2603, Wb=1.2333
updates=299, Epoch=37, minibatch=2, loss=0.00079, Wa=1.2603, Wb=1.2333
updates=300, Epoch=37, minibatch=3, loss=0.00084, Wa=1.2604, Wb=1.2334
updates=301, Epoch=37, minibatch=4, loss=0.00086, Wa=1.2605, Wb=1.2333
updates=302, Epoch=37, minibatch=5, loss=0.00091, Wa=1.2605, Wb=1.2332
updates=303, Epoch=37, minibatch=6, loss=0.00109, Wa=1.2606, Wb=1.2331
updates=304, Epoch=37, minibatch=7, loss=0.00103, Wa=1.2606, Wb=1.2328
updates=305, Epoch=38, minibatch=0, loss=0.00082, Wa=1.2607, Wb=1.2328
