SDG_w_Momentum using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=5e-05
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=210, Epoch=26, minibatch=1, loss=0.05230, Wa=1.2614, Wb=1.2325
update=211, Epoch=26, minibatch=2, loss=0.05952, Wa=1.2613, Wb=1.2325
update=212, Epoch=26, minibatch=3, loss=0.05085, Wa=1.2612, Wb=1.2325
update=213, Epoch=26, minibatch=4, loss=0.06723, Wa=1.2611, Wb=1.2325
update=214, Epoch=26, minibatch=5, loss=0.05601, Wa=1.2611, Wb=1.2325
update=215, Epoch=26, minibatch=6, loss=0.05623, Wa=1.2610, Wb=1.2324
update=216, Epoch=26, minibatch=7, loss=0.05507, Wa=1.2611, Wb=1.2325
update=217, Epoch=27, minibatch=0, loss=0.05172, Wa=1.2611, Wb=1.2325
update=218, Epoch=27, minibatch=1, loss=0.06275, Wa=1.2611, Wb=1.2325
update=219, Epoch=27, minibatch=2, loss=0.05370, Wa=1.2611, Wb=1.2324
update=220, Epoch=27, minibatch=3, loss=0.04801, Wa=1.2611, Wb=1.2324
update=221, Epoch=27, minibatch=4, loss=0.05047, Wa=1.2611, Wb=1.2325
update=222, Epoch=27, minibatch=5, loss=0.06513, Wa=1.2611, Wb=1.2325
update=223, Epoch=27, minibatch=6, loss=0.05913, Wa=1.2611, Wb=1.2325
update=224, Epoch=27, minibatch=7, loss=0.05906, Wa=1.2611, Wb=1.2325
update=225, Epoch=28, minibatch=0, loss=0.06805, Wa=1.2611, Wb=1.2325
update=226, Epoch=28, minibatch=1, loss=0.05146, Wa=1.2611, Wb=1.2325
update=227, Epoch=28, minibatch=2, loss=0.05891, Wa=1.2611, Wb=1.2325
update=228, Epoch=28, minibatch=3, loss=0.04537, Wa=1.2612, Wb=1.2325
update=229, Epoch=28, minibatch=4, loss=0.04618, Wa=1.2613, Wb=1.2326
update=230, Epoch=28, minibatch=5, loss=0.05229, Wa=1.2613, Wb=1.2326
update=231, Epoch=28, minibatch=6, loss=0.06239, Wa=1.2613, Wb=1.2326
update=232, Epoch=28, minibatch=7, loss=0.06585, Wa=1.2612, Wb=1.2325
update=233, Epoch=29, minibatch=0, loss=0.05930, Wa=1.2611, Wb=1.2325
update=234, Epoch=29, minibatch=1, loss=0.05929, Wa=1.2611, Wb=1.2325
update=235, Epoch=29, minibatch=2, loss=0.04457, Wa=1.2611, Wb=1.2325
update=236, Epoch=29, minibatch=3, loss=0.05349, Wa=1.2610, Wb=1.2325
update=237, Epoch=29, minibatch=4, loss=0.06174, Wa=1.2609, Wb=1.2325
update=238, Epoch=29, minibatch=5, loss=0.05302, Wa=1.2609, Wb=1.2325
update=239, Epoch=29, minibatch=6, loss=0.05603, Wa=1.2608, Wb=1.2325
update=240, Epoch=29, minibatch=7, loss=0.06293, Wa=1.2608, Wb=1.2325
update=241, Epoch=30, minibatch=0, loss=0.04841, Wa=1.2608, Wb=1.2325
update=242, Epoch=30, minibatch=1, loss=0.05428, Wa=1.2609, Wb=1.2325
update=243, Epoch=30, minibatch=2, loss=0.05379, Wa=1.2609, Wb=1.2325
update=244, Epoch=30, minibatch=3, loss=0.06309, Wa=1.2609, Wb=1.2325
update=245, Epoch=30, minibatch=4, loss=0.05806, Wa=1.2610, Wb=1.2325
update=246, Epoch=30, minibatch=5, loss=0.04992, Wa=1.2612, Wb=1.2325
update=247, Epoch=30, minibatch=6, loss=0.06550, Wa=1.2613, Wb=1.2326
update=248, Epoch=30, minibatch=7, loss=0.05751, Wa=1.2613, Wb=1.2326
update=249, Epoch=31, minibatch=0, loss=0.06274, Wa=1.2613, Wb=1.2326
update=250, Epoch=31, minibatch=1, loss=0.05053, Wa=1.2613, Wb=1.2326
update=251, Epoch=31, minibatch=2, loss=0.04388, Wa=1.2614, Wb=1.2326
update=252, Epoch=31, minibatch=3, loss=0.06321, Wa=1.2614, Wb=1.2326
update=253, Epoch=31, minibatch=4, loss=0.05079, Wa=1.2614, Wb=1.2326
update=254, Epoch=31, minibatch=5, loss=0.06102, Wa=1.2614, Wb=1.2326
update=255, Epoch=31, minibatch=6, loss=0.05680, Wa=1.2614, Wb=1.2326
update=256, Epoch=31, minibatch=7, loss=0.06107, Wa=1.2614, Wb=1.2326
update=257, Epoch=32, minibatch=0, loss=0.05716, Wa=1.2613, Wb=1.2326
update=258, Epoch=32, minibatch=1, loss=0.05911, Wa=1.2613, Wb=1.2325
update=259, Epoch=32, minibatch=2, loss=0.05712, Wa=1.2612, Wb=1.2325
update=260, Epoch=32, minibatch=3, loss=0.04946, Wa=1.2611, Wb=1.2325
update=261, Epoch=32, minibatch=4, loss=0.04951, Wa=1.2610, Wb=1.2324
update=262, Epoch=32, minibatch=5, loss=0.05554, Wa=1.2609, Wb=1.2324
update=263, Epoch=32, minibatch=6, loss=0.05724, Wa=1.2609, Wb=1.2324
